age,city+village_all_younger,city+village_all_older,city+village_men_younger,city+village_men_older,city+village_women_younger,city+village_women_older,city_all_younger,city_all_older,city_men_younger,city_men_older,city_women_younger,city_women_older,village_all_younger,village_all_older,village_men_younger,village_men_older,village_women_younger,village_women_older
0,99.257,0,99.176,0,99.326,0,99.318,0,99.242,0,99.384,0,99.132,0,99.043,0,99.209,0
1,98.463,0.7427,98.292,0.8236,98.610,0.6731,98.604,0.6811,98.444,0.7575,98.742,0.6156,98.176,0.8674,97.989,0.9565,98.339,0.7900
2,97.659,1.5366,97.400,1.7071,97.881,1.3899,97.883,1.3950,97.639,1.5559,98.091,1.2571,97.205,1.8232,96.920,2.0109,97.453,1.6602
3,96.802,2.3407,96.454,2.5992,97.102,2.1182,97.115,2.1167,96.789,2.3602,97.395,1.9080,96.169,2.7940,95.781,3.0794,96.506,2.5461
4,95.905,3.1973,95.462,3.5453,96.287,2.8977,96.309,2.8843,95.893,3.2104,96.666,2.6049,95.089,3.8306,94.595,4.2185,95.518,3.4938
5,94.943,4.0940,94.394,4.5377,95.415,3.7120,95.437,3.6904,94.925,4.1064,95.876,3.3339,93.942,4.9106,93.329,5.4045,94.475,4.4817
6,93.940,5.0568,93.283,5.6050,94.505,4.5849,94.527,4.5624,93.913,5.0748,95.053,4.1233,92.751,6.0570,92.018,6.6703,93.387,5.5244
7,92.897,6.0598,92.127,6.7160,93.559,5.4949,93.578,5.4722,92.857,6.0861,94.197,4.9461,91.518,7.2486,90.661,7.9818,92.263,6.6120
8,91.788,7.1026,90.900,7.8724,92.553,6.4400,92.560,6.4213,91.725,7.1428,93.276,5.8029,90.227,8.4812,89.242,9.3387,91.081,7.7367
9,90.598,8.2112,89.580,9.0995,91.475,7.4466,91.454,7.4394,90.495,8.2745,92.275,6.7236,88.868,9.7729,87.742,10.757,89.846,8.9183
10,89.318,9.4010,88.161,10.419,90.313,8.5246,90.237,8.5458,89.138,9.5045,91.178,7.7242,87.458,11.131,86.197,12.257,88.553,10.153
11,87.975,10.681,86.672,11.838,89.096,9.6860,88.940,9.7629,87.695,10.861,90.007,8.8213,86.022,12.541,84.617,13.802,87.242,11.446
12,86.571,12.024,85.118,13.327,87.822,10.903,87.564,11.059,86.168,12.304,88.761,9.9927,84.561,13.977,83.007,15.382,85.910,12.757
13,85.067,13.428,83.455,14.881,86.455,12.177,86.075,12.435,84.518,13.831,87.409,11.238,83.029,15.438,81.319,16.992,84.513,14.089
